"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)"
"Pitiglianoite","Pitiglianoite","K_2_Na_6_(Si_6_Al_6_)O_24_(SO_4_)·2H_2_O","K_2_Na_6_(Si_6_Al_6_)O_24_(SO_4_)·2H_2_O"
"Pitticite","Pitticite","Fe^3+^_x_(As^5+^O_4_)_y_(S^6+^O_4_)_z_·nH_2_O","[Fe,AsO_4_,SO_4_,H_2_O] (?)"
"Pittongite","Pittongite","(Na,H_2_O)_0.7_(W,Fe^3+^)(O,OH)_3_","(Na,H_2_O)_0.7_(W,Fe^3+^)(O,OH)_3_"
"Piypite","Piypite","K_4_Cu^2+^_4_O_2_(S^6+^O_4_)_4_·(Na,Cu^1+^)Cl","K_4_Cu_4_O_2_(SO_4_)_4_·(Na,Cu)Cl"
"Pizgrischite","Pizgrischite","(Cu,Fe)Cu_14_PbBi_17_S_34_","(Cu,Fe)Cu_14_PbBi_17_S_34_"
"Plagionite","Plagionite","Pb_5_Sb_8_S_17_","Pb_5_Sb_8_S_17_"
"Plancheite","Plancheite","Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_·H_2_O","Cu_8_(Si_4_O_11_)_2_(OH)_4_·H_2_O"
"Planerite","Planerite","Al_6_(PO_4_)_2_(PO_3_OH)_2_(OH)_8_·4H_2_O","Al_6_(PO_4_)_2_(PO_3_OH)_2_(OH)_8_·4H_2_O"
"Plášilite","Plasilite","Na(U^6+^O_2_)(S^6+^O_4_)(OH)·2H_2_O","Na(UO_2_)(SO_4_)(OH)·2H_2_O"
"Platarsite","Platarsite","Pt^3+^(AsS)^3-^","PtAsS"
"Platinum","Platinum","Pt","Pt"
"Plattnerite","Plattnerite","PbO_2_","PbO_2_"
"Plavnoite","Plavnoite","K_0.8_Mn^2+^_0.6_[(U^6+^O_2_)_2_O_2_(S^6+^O_4_)]·3.5H_2_O","K_0.8_Mn_0.6_[(UO_2_)_2_O_2_(SO_4_)]·3.5H_2_O"
"Playfairite","Playfairite","Pb_16_(Sb,As)_19_S_44_Cl","Pb_16_(Sb,As)_19_S_44_Cl"
"Plimerite","Plimerite","Zn^2+^_2_Fe^3+^_3_(PO_4_)_3_(OH)_4_(H_2_O)","Zn_2_Fe^3+^_3_(PO_4_)_3_(OH)_4_(H_2_O)"
"Pliniusite","Pliniusite","Ca_5_(V^5+^O_4_)_3_F","Ca_5_(VO_4_)_3_F"
"Plombièrite","Plombierite","Ca_5_Si_6_O_16_(OH)_2_·7H_2_O","Ca_4_Si_6_O_16_(OH)_2_(H_2_O)_2_·(Ca·5H_2_O)"
"Plumboagardite","Plumboagardite","Cu^2+^_6_(Pb^2+^,La^3+^,Nd^3+^,Ce^3+^,Ca)(As^5+^O_4_)_3_(OH)_6_·3H_2_O","(Pb,REE,Ca)Cu_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Plumboferrite","Plumboferrite","Pb_2_(Fe^3+^,Mn^2+^,Mg)_11_O_19_","Pb_2_(Fe^3+^,Mn^2+^,Mg)_11_O_19_"
"Plumbogummite","Plumbogummite","PbAl_3_(PO_4_)(PO_3_OH)(OH)_6_","PbAl_3_(PO_4_)(PO_3_OH)(OH)_6_"
"Plumbojarosite","Plumbojarosite","PbFe^3+^_6_(SO_4_)_4_(OH)_12_","Pb_0.5_Fe^3+^_3_(SO_4_)_2_(OH)_6_"
"Plumbonacrite","Plumbonacrite","Pb_5_(CO_3_)_3_O(OH)_2_","Pb_5_(CO_3_)_3_O(OH)_2_"
"Plumbopalladinite","Plumbopalladinite","Pb_2_Pd_3_","Pd_3_Pb_2_"
"Plumbopharmacosiderite","Plumbopharmacosiderite","Pb^2+^_0.5_Fe^3+^_4_(As^5+^O_4_)_3_(OH)_4_·5H_2_O","Pb_0.5_Fe^3+^_4_(AsO_4_)_3_(OH)_4_·5H_2_O"
"Plumbophyllite","Plumbophyllite","Pb_2_Si_4_O_10_·H_2_O","Pb_2_Si_4_O_10_·H_2_O"
"Plumboselite","Plumboselite","Pb^2+^_3_O_2_(Se^4+^O_3_)","Pb_3_O_2_(SeO_3_)"
"Plumbotellurite","Plumbotellurite","Pb^2+^Te^4+^O_3_","Pb(Te^4+^O_3_)"
"Plumbotsumite","Plumbotsumite","Pb_5_Si_4_O_8_(OH)_10_","Pb_5_Si_4_O_8_(OH)_10_"
"Plumosite","Plumosite","Pb_2_Sb_2_S_5_","Pb_2_Sb_2_S_5_"
"Podlesnoite","Podlesnoite","BaCa_2_(CO_3_)_2_F_2_","Ca_2_Ba(CO_3_)_2_F_2_"
"Poitevinite","Poitevinite","Cu^2+^SO_4_·H_2_O","Cu(SO_4_)·H_2_O"
"Pokrovskite","Pokrovskite","Mg_2_CO_3_(OH)_2_","Mg_2_(CO_3_)(OH)_2_"
"Polarite","Polarite","Pd(Bi,Pb)","Pd(Bi,Pb)"
"Poldervaartite","Poldervaartite","Ca_2_(SiO_3_OH)(OH)","Ca(Ca,Mn)(SiO_3_OH)(OH)"
"Polekhovskyite","Polekhovskyite","MoNiP_2_","MoNiP_2_"
"Polezhaevaite-(Ce)","Polezhaevaite-(Ce)","NaSrCeF_6_","NaSrCeF_6_"
"Polhemusite","Polhemusite","(Zn,Hg)S","(Zn,Hg)S"
"Polkanovite","Polkanovite","Rh_12_As_7_","Rh_12_As_7_"
"Polkovicite","Polkovicite","(Fe,Pb)_3_(Ge,Fe)_1-x_S_4_","(Fe,Pb)_3_(Ge,Fe)_1-x_S_4_"
"Polloneite","Polloneite","AgPb_46_As_26_Sb_23_S_120_","AgPb_46_As_26_Sb_23_S_120_"
"Pollucite","Pollucite","Cs(Si_2_Al)O_6_·nH_2_O","Cs(Si_2_Al)O_6_·nH_2_O"
"Polyakovite-(Ce)","Polyakovite-(Ce)","(Ce^3+^,Ca)_4_MgCr^3+^_2_(Ti^4+^,Nb^5+^)_2_Si_4_O_22_","(Ce,Ca)_4_MgCr_2_(Ti,Nb)_2_Si_4_O_22_"
"Polybasite","Polybasite","Cu(Ag,Cu)_6_Ag_9_Sb_2_S_11_","[Ag_9_CuS_4_][(Ag,Cu)_6_(Sb,As)_2_S_7_]"
"Polycrase-(Y)","Polycrase-(Y)","Y^3+^(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","Y(Ti,Nb)_2_(O,OH)_6_"
"Polydymite","Polydymite","Ni^2+^Ni^3+^_2_S^2-^_4_","Ni^2+^Ni^3+^_2_S_4_"
"Polyhalite","Polyhalite","K_2_Ca_2_Mg(SO_4_)_4_·2H_2_O","K_2_Ca_2_Mg(SO_4_)_4_·2H_2_O"
"Polylithionite","Polylithionite","KLi_2_AlSi_4_O_10_F_2_","KLi_2_AlSi_4_O_10_F_2_"
"Polyphite","Polyphite","Na_6_(Na_4_Ca_2_)_2_Na_2_Ti^4+^_2_Na_2_Ti^4+^_2_(Si_2_O_7_)_2_(PO_4_)_6_O_4_F_4_","Na_6_(Na_4_Ca_2_)_2_Na_2_Ti_2_Na_2_Ti_2_(Si_2_O_7_)_2_(PO_4_)_6_O_4_F_4_"
"Ponomarevite","Ponomarevite","K_4_Cu^2+^_4_OCl_10_","K_4_Cu_4_OCl_10_"
"Popovite","Popovite","Cu^2+^_5_O_2_(As^5+^O_4_)_2_","Cu_5_O_2_(AsO_4_)_2_"
"Poppiite","Poppiite","Ca_2_(V^3+^,Fe^3+^,Mg)V^3+^_2_(Si,Al)_3_(O,OH)_14_","Ca_2_(V^3+^,Fe^3+^,Mg)V^3+^_2_(Si,Al)_3_(O,OH)_14_"
"Portlandite","Portlandite","Ca(OH)_2_","Ca(OH)_2_"
"Posnjakite","Posnjakite","Cu^2+^_4_S^6+^O_4_(OH)_6_·H_2_O","Cu_4_(SO_4_)(OH)_6_·H_2_O"
"Postite","Postite","Mg(H_2_O)_6_Al_2_(OH)_2_(H_2_O)_8_(V^5+^_10_O_28_)·13H_2_O","Mg(H_2_O)_6_Al_2_(OH)_2_(H_2_O)_8_(V_10_O_28_)·13H_2_O"
"Potarite","Potarite","PdHg","PdHg"
"Potassic-arfvedsonite","Potassic-arfvedsonite","KNa_2_Fe^2+^_4_Fe^3+^Si_8_O_22_(OH)_2_","KNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_"
"Potassiccarpholite","Potassiccarpholite","K(Mn^2+^,Li)_2_Al_4_Si_4_O_12_(OH,F)_8_","K(Mn^2+^,Li)_2_Al_4_Si_4_O_12_(OH,F)_8_"
"Potassic-chloro-hastingsite","Potassic-chloro-hastingsite","KCa_2_[Fe^2+^_4_Fe^3+^](Si_6_Al_2_)O_22_Cl_2_","KCa_2_(Fe^2+^_4_Fe^3+^)(Si_6_Al_2_)O_22_Cl_2_"
"Potassic-chloro-pargasite","Potassic-chloro-pargasite","KCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_Cl_2_","KCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_Cl_2_"
"Potassic-ferri-leakeite","Potassic-ferri-leakeite","KNa_2_(Mg_2_Fe^3+^_2_Li)Si_8_O_22_(OH)_2_","KNa_2_(Mg_2_Fe^3+^_2_Li)Si_8_O_22_(OH)_2_"
"Potassic-ferro-ferri-sadanagaite","Potassic-ferro-ferri-sadanagaite","KCa_2_(Fe^2+^_3_Fe^3+^_2_)(Si_5_Al_3_)O_22_(OH)_2_","KCa_2_(Fe^2+^_3_Fe^3+^_2_)(Si_5_Al_3_)O_22_(OH)_2_"
"Potassic-ferro-ferri-taramite","Potassic-ferro-ferri-taramite","K(NaCa)(Fe^2+^_3_Fe^3+^_2_)(Si_6_Al_2_)O_22_(OH)_2_","K(NaCa)(Fe^2+^_3_Fe^3+^_2_)(Si_6_Al_2_)O_22_(OH)_2_"
"Potassic-ferro-pargasite","Potassic-ferro-pargasite","KCa_2_(Fe^2+^_4_Al)Si_6_Al_2_O_22_(OH)_2_","KCa_2_(Fe^2+^_4_Al)(Si_6_Al_2_)O_22_(OH)_2_"
"Potassic-ferro-sadanagaite","Potassic-ferro-sadanagaite","KCa_2_(Fe^2+^_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_","KCa_2_(Fe^2+^_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_"
"Potassic-ferro-taramite","Potassic-ferro-taramite","K(NaCa)(Fe^2+^_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_","K(NaCa)(Fe^2+^_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_"
"Potassic-fluoro-hastingsite","Potassic-fluoro-hastingsite","KCa_2_(Fe^2+^_4_Fe^3+^)(Si_6_Al_2_)O_22_F_2_","KCa_2_(Fe^2+^_4_Fe^3+^)(Si_6_Al_2_)O_22_F_2_"
"Potassic-fluoro-pargasite","Potassic-fluoro-pargasite","KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_","KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_"
"Potassic-fluoro-richterite","Potassic-fluoro-richterite","K(NaCa)Mg_5_Si_8_O_22_F_2_","K(NaCa)Mg_5_Si_8_O_22_F_2_"
"Potassic-jeanlouisite","Potassic-jeanlouisite","K(NaCa)(Mg_4_Ti^4+^)Si_8_O_22_O_2_","K(NaCa)(Mg_4_Ti)Si_8_O_22_O_2_"
"Potassic-magnesio-arfvedsonite","Potassic-magnesio-arfvedsonite","KNa_2_Mg_4_Fe^3+^Si_8_O_22_(OH)_2_","KNa_2_(Mg_4_Fe^3+^)Si_8_O_22_(OH)_2_"
"Potassic-magnesio-fluoro-arfvedsonite","Potassic-magnesio-fluoro-arfvedsonite","KNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_","KNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_"
"Potassic-magnesio-hastingsite","Potassic-magnesio-hastingsite","KCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_(OH)_2_","KCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_(OH)_2_"
"Potassic-mangani-leakeite","Potassic-mangani-leakeite","KNa_2_(Mg_2_Mn^3+^_2_Li)Si_8_O_22_(OH)_2_","KNa_2_(Mg_2_Mn^3+^_2_Li)Si_8_O_22_(OH)_2_"
"Potassic-pargasite","Potassic-pargasite","KCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_(OH)_2_","KCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_(OH)_2_"
"Potassic-richterite","Potassic-richterite","K(NaCa)Mg_5_Si_8_O_22_(OH)_2_","K(NaCa)Mg_5_Si_8_O_22_(OH)_2_"
"Potassic-sadanagaite","Potassic-sadanagaite","KCa_2_Mg_3_Al_2_(Si_5_Al_3_)O_22_(OH)_2_","KCa_2_(Mg_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_"
"Pottsite","Pottsite","(Pb^2+^_3_Bi^3+^)Bi^3+^(V^5+^O_4_)_4_·H_2_O","(Pb_3_Bi)Bi(VO_4_)_4_·H_2_O"
"Poubaite","Poubaite","Pb^2+^Bi^3+^_2_(Se^2-^,Te^2-^,S^2-^)_4_","PbBi_2_(Se,Te,S)_4_"
"Poudretteite","Poudretteite","KNa_2_(B_3_Si_12_)O_30_","KNa_2_(B_3_Si_12_)O_30_"
"Poughite","Poughite","Fe^3+^_2_(Te^4+^O_3_)_2_S^6+^O_4_·3H_2_O","Fe^3+^_2_(Te^4+^O_3_)_2_(SO_4_)·3H_2_O"
"Povondraite","Povondraite","NaFe^3+^_3_(Fe^3+^_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O","NaFe^3+^_3_(Fe^3+^_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O"
"Powellite","Powellite","CaMo^6+^O_4_","Ca(MoO_4_)"
"Poyarkovite","Poyarkovite","Hg_3_OCl","Hg_3_OCl"
"Prachařite","Pracharite","CaSb^5+^_2_(As^3+^_2_O_5_)_2_O_2_·10H_2_O","CaSb^5+^_2_(As^3+^_2_O_5_)_2_O_2_·10H_2_O"
"Pradetite","Pradetite","Co^2+^Cu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O","CoCu_4_(AsO_4_)_2_(AsO_3_OH)_2_·9H_2_O"
"Prehnite","Prehnite","Ca_2_Al(Si_3_Al)O_10_(OH)_2_","Ca_2_Al(Si_3_Al)O_10_(OH)_2_"
"Preisingerite","Preisingerite","Bi^3+^_3_O(As^5+^O_4_)_2_(OH)","Bi_3_O(AsO_4_)_2_(OH)"
"Preiswerkite","Preiswerkite","NaAlMg_2_(Si_2_Al_2_)O_10_(OH)_2_","NaAlMg_2_(Si_2_Al_2_)O_10_(OH)_2_"
"Preobrazhenskite","Preobrazhenskite","Mg_3_B_11_O_15_(OH)_9_","Mg_3_B_11_O_15_(OH)_9_"
"Pretulite","Pretulite","Sc^3+^P^5+^O_4_","Sc(PO_4_)"
"Prewittite","Prewittite","KPb^2+^_1.5_Zn^2+^Cu^2+^_6_O_2_(Se^4+^O_3_)_2_Cl^1-^_10_","KPb_1.5_ZnCu_6_O_2_(SeO_3_)_2_Cl_10_"
"Příbramite","Pribramite","Cu^1+^Sb^3+^Se^2-^_2_","CuSbSe_2_"
"Priceite","Priceite","Ca_2_B_5_O_7_(OH)_5_·H_2_O","Ca_2_B_5_O_7_(OH)_5_·H_2_O"
"Priderite","Priderite","K(Ti^4+^_7_Fe^3+^)O_16_","K(Ti_7_Fe^3+^)O_16_"
"Pringleite","Pringleite","Ca_9_B_26_O_34_(OH)_24_Cl_4_·13H_2_O","Ca_9_B_26_O_34_(OH)_24_Cl_4_·13H_2_O"
"Prismatine","Prismatine","(Mg,Al,Fe^2+^,Fe^3+^)_6_Al_4_(Si,Al)_4_(B,Si,Al)(O,OH,F)_22_","(Mg,Al,Fe)_6_Al_4_(Si,Al)_4_(B,Si,Al)(O,OH,F)_22_"
"Probertite","Probertite","NaCaB_5_O_7_(OH)_4_·3H_2_O","NaCaB_5_O_7_(OH)_4_·3H_2_O"
"Proshchenkoite-(Y)","Proshchenkoite-(Y)","(Y^3+^,Ce^3+^,Ca,Na,Mn^2+^)_15_CaFe^2+^(P^5+^,Si)Si_6_B_3_O_34_F_14_","(Y,REE,Ca,Na,Mn)_15_Fe^2+^Ca(P,Si)Si_6_B_3_(O,F)_48_"
"Prosopite","Prosopite","CaAl_2_F_4_(OH)_4_","CaAl_2_F_4_(OH)_4_"
"Prosperite","Prosperite","Ca_2_Zn^2+^_4_(As^5+^O_4_)_4_·H_2_O","Ca_2_Zn_4_(AsO_4_)_4_·H_2_O"
"Protasite","Protasite","Ba(UO_2_)_3_O_3_(OH)_2_·3H_2_O","Ba(UO_2_)_3_O_3_(OH)_2_·3H_2_O"
"Proto-anthophyllite","Proto-anthophyllite","Mg_7_Si_8_O_22_(OH)_2_","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_"
"Protochabournéite","Protochabourneite","Tl^1+^_5-x_Pb^2+^_2x_(Sb^3+^,As^3+^)_21-x_S^2-^_34_ (x~1.2-1.5)","Tl_2_Pb(Sb,As)_10_S_17_"
"Protoenstatite","Protoenstatite","Mg_2_Si_2_O_6_","Mg_2_Si_2_O_6_"
"Proto-ferro-anthophyllite","Proto-ferro-anthophyllite","Fe^2+^_7_Si_8_O_22_(OH)_2_","[box]Fe^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_"
"Proto-ferro-suenoite","Proto-ferro-suenoite","[box]Mn^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_","[box]Mn^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_"
"Proudite","Proudite","Cu_2_Pb_16_Bi_20_(S,Se)_47_","Cu_2_Pb_16_Bi_20_(S,Se)_47_"
"Proustite","Proustite","Ag^1+^_3_As^3+^S^2-^_3_","Ag_3_AsS_3_"
"Proxidecagonite","Proxidecagonite","Al_34_Ni_9_Fe_2_","Al_34_Ni_9_Fe_2_"
"Przhevalskite","Przhevalskite","Pb^2+^(U^6+^O_2_)_2_(P^5+^O_4_)_2_·4H_2_O","Pb(UO_2_)_2_(PO_4_)_2_·4H_2_O"
"Pseudoboleite","Pseudoboleite","Pb^2+^_31_Cu^2+^_24_Cl_62_(OH)_48_","Pb_31_Cu_24_Cl_62_(OH)_48_"
"Pseudobrookite","Pseudobrookite","(Fe^3+^_2_Ti^4+^)O_5_","(Fe^3+^_2_Ti)O_5_"
"Pseudocotunnite","Pseudocotunnite","K_2_PbCl_4_","K_2_PbCl_4_ (?)"
"Pseudograndreefite","Pseudograndreefite","Pb_6_(SO_4_)F_10_","Pb_6_(SO_4_)F_10_"
"Pseudojohannite","Pseudojohannite","Cu^2+^_3_(U^6+^O_2_)_4_O_4_(S^6+^O_4_)_2_(OH)_2_·12H_2_O","Cu_3_(OH)_2_[(UO_2_)_4_O_4_(SO_4_)_2_]·12H_2_O"
"Pseudolaueite","Pseudolaueite","Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O","Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O"
"Pseudolyonsite","Pseudolyonsite","Cu^2+^_3_(V^5+^O_4_)_2_","Cu_3_(VO_4_)_2_"
"Pseudomalachite","Pseudomalachite","Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_","Cu_5_(PO_4_)_2_(OH)_4_"
"Pseudomarkeyite","Pseudomarkeyite","Ca_8_(U^6+^O_2_)_4_(CO_3_)_12_·21H_2_O","Ca_8_(UO_2_)_4_(CO_3_)_12_·21H_2_O"
"Pseudorutile","Pseudorutile","Fe^3+^_2_Ti^4+^_3_O_9_","Fe^3+^_2_Ti^4+^_3_O_9_"
"Pseudosinhalite","Pseudosinhalite","Mg_2_Al_3_B_2_O_9_(OH)","Mg_2_Al_3_B_2_O_9_(OH)"
"Pseudowollastonite","Pseudowollastonite","CaSiO_3_","CaSiO_3_"
"Pucherite","Pucherite","Bi^3+^V^5+^O_4_","Bi(VO_4_)"
"Pumpellyite-(Al)","Pumpellyite-(Al)","Ca_2_Al_3_(SiO_4_)(Si_2_O_7_)(OH,O)_2_·H_2_O","Ca_2_Al_3_(Si_2_O_7_)(SiO_4_)(OH,O)_2_·H_2_O"
"Pumpellyite-(Fe<sup>2+</sup>)","Pumpellyite-(Fe2+)","Ca_2_Fe^2+^Al_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O","Ca_2_Fe^2+^Al_2_(Si_2_O_7_)(SiO_4_)(OH,O)_2_·H_2_O"
"Pumpellyite-(Fe<sup>3+</sup>)","Pumpellyite-(Fe3+)","Ca_2_(Fe^3+^,Mg)Al_2_(SiO_4_)(Si_2_O_7_)(OH,O)_2_·H_2_O","Ca_2_(Fe^3+^,Mg)Al_2_(Si_2_O_7_)(SiO_4_)(OH,O)_2_·H_2_O"
"Pumpellyite-(Mg)","Pumpellyite-(Mg)","Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O","Ca_2_MgAl_2_(Si_2_O_7_)(SiO_4_)(OH)_2_·H_2_O"
"Pumpellyite-(Mn<sup>2+</sup>)","Pumpellyite-(Mn2+)","Ca_2_Mn^2+^Al_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O","Ca_2_Mn^2+^Al_2_(Si_2_O_7_)(SiO_4_)(OH)_2_·H_2_O"
"Puninite","Puninite","Na_2_Cu^2+^_3_O(S^6+^O_4_)_3_","Na_2_Cu_3_O(SO_4_)_3_"
"Punkaruaivite","Punkaruaivite","LiTi^4+^_2_Si_4_O_11_(OH)_3_·H_2_O","Li{Ti_2_(OH)_2_[Si_4_O_11_(OH)]}·H_2_O"
"Purpurite","Purpurite","(Mn^3+^,Fe^3+^)PO_4_","(Mn^3+^,Fe^3+^)(PO_4_)"
"Pushcharovskite","Pushcharovskite","K_0.6_Cu^2+^_18_[As^5+^O_2_(OH)_2_]_4_[As^5+^O_3_OH]_10_(As^5+^O_4_)(OH)_9.6_·18.6H_2_O","K_0.6_Cu_18_[AsO_2_(OH)_2_]_4_[AsO_3_OH]_10_(AsO_4_)(OH)_9.6_·18.6H_2_O"
"Putnisite","Putnisite","SrCa_4_Cr^3+^_8_(CO_3_)_8_S^6+^O_4_(OH)_16_·25H_2_O","SrCa_4_Cr^3+^_8_(CO_3_)_8_(SO_4_)(OH)_16_·25H_2_O"
"Putoranite","Putoranite","Cu_1.1_Fe_1.2_S_2_","Cu_1.1_Fe_1.2_S_2_"
"Putzite","Putzite","(Cu,Ag)_8_GeS_6_","(Cu,Ag)_8_GeS_6_"
"Pyatenkoite-(Y)","Pyatenkoite-(Y)","Na_5_Y^3+^Ti^4+^Si_6_O_18_·6H_2_O","Na_5_YTiSi_6_O_18_·6H_2_O"
"Pyracmonite","Pyracmonite","(N^3-^H_4_)_3_Fe^3+^(S^6+^O_4_)_3_","(NH_4_)_3_Fe(SO_4_)_3_"
"Pyrargyrite","Pyrargyrite","Ag_3_SbS_3_","Ag_3_SbS_3_"
"Pyrite","Pyrite","Fe^2+^(S_2_)^2-^","FeS_2_"
"Pyroaurite","Pyroaurite","Mg_6_Fe^3+^_2_CO_3_(OH)_16_·4H_2_O","Mg_6_Fe^3+^_2_(CO_3_)(OH)_16_·4H_2_O"
"Pyrobelonite","Pyrobelonite","Pb^2+^Mn^2+^V^5+^O_4_(OH)","PbMn^2+^VO_4_(OH)"
"Pyrochroite","Pyrochroite","Mn^2+^(OH)_2_","Mn^2+^(OH)_2_"
"Pyrolusite","Pyrolusite","Mn^4+^O_2_","MnO_2_"
"Pyromorphite","Pyromorphite","Pb_5_(PO_4_)_3_Cl","Pb_5_(PO_4_)_3_Cl"
"Pyrope","Pyrope","Mg_3_Al_2_(SiO_4_)_3_","Mg_3_Al_2_(SiO_4_)_3_"
"Pyrophanite","Pyrophanite","Mn^2+^Ti^4+^O_3_","Mn^2+^TiO_3_"
"Pyrophyllite","Pyrophyllite","Al_2_Si_4_O_10_(OH)_2_","Al_2_Si_4_O_10_(OH)_2_"
"Pyrosmalite-(Fe)","Pyrosmalite-(Fe)","Fe^2+^_8_Si_6_O_15_(OH)_10_","Fe^2+^_8_Si_6_O_15_(OH)_10_"
"Pyrosmalite-(Mn)","Pyrosmalite-(Mn)","Mn^2+^_8_Si_6_O_15_(OH,Cl)_10_","Mn^2+^_8_Si_6_O_15_(OH,Cl)_10_"
"Pyrostilpnite","Pyrostilpnite","Ag_3_SbS_3_","Ag_3_SbS_3_"
"Pyroxferroite","Pyroxferroite","Fe^2+^SiO_3_","Fe^2+^SiO_3_"
"Pyroxmangite","Pyroxmangite","Mn^2+^SiO_3_","Mn^2+^SiO_3_"
"Pyrrhotite","Pyrrhotite","Fe^2+^_5_Fe^3+^_2_S^2-^_8_","Fe_7_S_8_"
"Qandilite","Qandilite","Mg_2_(Ti^4+^,Fe^3+^,Al)O_4_","(Mg,Fe^3+^)_2_(Ti,Fe^3+^,Al)O_4_"
"Qaqarssukite-(Ce)","Qaqarssukite-(Ce)","BaCe(CO_3_)_2_F","BaCe(CO_3_)_2_F"
"Qatranaite","Qatranaite","CaZn^2+^_2_(OH)_6_(H_2_O)_2_","CaZn_2_(OH)_6_(H_2_O)_2_"
"Qilianshanite","Qilianshanite","NaH_4_(CO_3_)(BO_3_)·2H_2_O","NaH_4_(CO_3_)(BO_3_)·2H_2_O"
"Qingheiite","Qingheiite","Na_2_Mn^2+^MgAl(PO_4_)_3_","Na_2_MnMgAl(PO_4_)_3_"
"Qingheiite-(Fe<sup>2+</sup>)","Qingheiite-(Fe2+)","Na_2_Fe^2+^MgAl(PO_4_)_3_","Na_2_Fe^2+^MgAl(PO_4_)_3_"
"Qingsongite","Qingsongite","BN^3-^","BN"
"Qitianlingite","Qitianlingite","Fe^2+^_2_Nb^5+^_2_W^6+^O_10_","Fe^2+^_2_Nb_2_W^6+^O_10_"
"Quadratite","Quadratite","Ag^1+^Cd^2+^As^3+^S^2-^_3_","AgCdAsS_3_"
"Quadridavyne","Quadridavyne","Na_6_Ca_2_Si_6_Al_6_O_24_Cl_4_","[(Na,K)_6_Cl_2_][Ca_2_Cl_2_][(Si_6_Al_6_O_24_)]"
"Quadruphite","Quadruphite","Na_6_Na_2_(CaNa)_2_Na_2_Ti^4+^_2_Na_2_Ti^4+^_2_(Si_2_O_7_)_2_(PO_4_)_4_O_4_F_2_","Na_6_Na_2_(CaNa)_2_Na_2_Ti_2_Na_2_Ti_2_(Si_2_O_7_)_2_(PO_4_)_4_O_4_F_2_"
"Quartz","Quartz","SiO_2_","SiO_2_"
"Queitite","Queitite","Zn^2+^_2_Pb^2+^_4_(SiO_4_)(Si_2_O_7_)(S^6+^O_4_)","Zn_2_Pb_4_(Si_2_O_7_)(SiO_4_)(SO_4_)"
"Quenselite","Quenselite","Pb^2+^Mn^3+^O_2_(OH)","PbMn^3+^O_2_(OH)"
"Quenstedtite","Quenstedtite","Fe^3+^_2_(S^6+^O_4_)_3_·11H_2_O","Fe^3+^_2_(SO_4_)_3_·11H_2_O"
"Quetzalcoatlite","Quetzalcoatlite","Cu^2+^_3_Zn^2+^_6_Te^6+^_2_O_12_(OH)_6_·(Ag^1+^,Pb^2+^,[box])Cl^1-^","Cu^2+^_3_Zn_6_Te^6+^_2_O_12_(OH)_6_·(Ag,Pb,[box])Cl"
"Quijarroite","Quijarroite","Cu_6_HgPb_2_Bi_4_Se_12_","Cu_6_HgPb_2_Bi_4_Se_12_"
"Quintinite","Quintinite","Mg_4_Al_2_(OH)_12_CO_3_·3H_2_O","Mg_4_Al_2_(OH)_12_(CO_3_)·3H_2_O"
"Qusongite","Qusongite","WC","WC"
"Raadeite","Raadeite","Mg_7_(PO_4_)_2_(OH)_8_","Mg_7_(PO_4_)_2_(OH)_8_"
